Pond Name,Max Bounce Norm,Max Bounce,Decline Rate,Decline Rate Norm,Inflow Rate,Inflow Rate Norm
Hospital,0.611694009,3.500252645,-0.030467981,0.071961593,163.6066199,0.478578565
Lot60,0.19539795,1.118111639,-0.030962218,0.073128919,25.03259609,0.073224812
Garner,0.572911916,3.278332665,-0.023967084,0.05660728,143.3236655,0.419247304
DobA7,0.497557172,2.847135627,-0.015956654,0.037687638,249.4473042,0.729677889
Owen,0.666042223,3.81124552,-0.137076768,0.323758326,156.0627997,0.456511545
HPChurch,0.97086084,5.555487175,-0.040040554,0.094570823,137.6269647,0.402583437
DobA8,0.59444429,3.401545816,-0.041338368,0.097636098,210.3915428,0.615432816
Elver,0.632624049,3.620019108,-0.044520941,0.105152941,100.0270129,0.292596867
TwoFountains,0.283787541,1.62389704,-0.028023592,0.066188249,70.12561029,0.205129927
Greentree,0.782174548,4.475781178,-0.033576509,0.07930355,166.9106513,0.488243447
MarionDunn,1,5.722228097,-0.030936874,0.07306906,279.5507987,0.817735984
Manitou,0.784291651,4.487895723,-0.146360736,0.345685907,256.8896754,0.751448153
MadCity,0.631115046,3.611384246,-0.034611408,0.081747853,341.8594808,1
Baxter,0.487936199,2.79208223,-0.068813222,0.162528296,193.4754923,0.565950348
DobA22,0.914811721,5.234761336,-0.423392256,1,266.4136085,0.779307357
DobA4,0.347712845,1.989692213,-0.037333699,0.088177567,49.90983937,0.145995189
DoorCreek,0.180318456,1.031823337,-0.012605109,0.029771704,23.11855748,0.067625907
CommAve,0.564640075,3.230999304,-0.048037363,0.113458294,148.8898923,0.435529511
Hospital,0.335965254,1.453390954,-0.025038965,0.078410919,4.390652927,0.157216548
Lot60,0.20197216,0.873734731,-0.029170339,0.091348548,3.261383403,0.116780681
Garner,0.544431712,2.35522012,-0.014741243,0.046163027,-0.004793943,-0.000171657
DobA7,0.63193402,2.733756478,-0.021711257,0.067990015,9.992572536,0.357805042
Owen,0.68048671,2.943796174,-0.152809776,0.478532357,15.20438699,0.544425003
HPChurch,1,4.326015675,-0.03116759,0.097603051,27.92742234,1
DobA8,0.632600207,2.73663841,-0.035061926,0.109798382,13.00893792,0.465812339
Midtown,0.405041245,1.752214773,-0.071041536,0.222470542,5.338827634,0.191167934
Elver,0.655194543,2.834381865,-0.031061347,0.097270345,16.19541501,0.579910842
TwoFountains,0.17810117,0.770468455,-0.022166755,0.069416433,0.084671625,0.003031845
Greentree,0.621729396,2.689611112,-0.023477708,0.073521755,12.36244772,0.4426634
MarionDunn,0.978368691,4.232438293,-0.024955047,0.078148125,20.89999673,0.74836827
Manitou,0.855112941,3.699231987,-0.087467357,0.273908919,16.17129431,0.57904715
MadCity,0.54424047,2.354392804,-0.03248329,0.101723239,7.304468955,0.261551849
Baxter,0.421029288,1.821379298,-0.05010192,0.156896964,13.44669311,0.481487083
DobA22,0.731689282,3.165299303,-0.31933008,1,12.16490462,0.435589954
DobA5,0.44828721,1.939297498,-0.02010181,0.062949942,6.427694987,0.230157116
DobA4,0.343091854,1.484220737,-0.034630358,0.108446902,6.572273508,0.235334054
DoorCreek,0.203966871,0.882363882,-0.019134153,0.05991967,3.182417903,0.113953156
CommAve,0.511575158,2.213082152,-0.051147418,0.160170999,8.705620156,0.31172301
Hospital,0.390681953,1.25170592,-0.003739933,0.008953716,1.592430438,0.040668473
Lot60,0.268309825,0.859637855,-0.025183506,0.060291443,1.796508389,0.045880342
Garner,0.501926772,1.608123198,-0.034120253,0.081686771,4.281264532,0.109337581
DobA7,0.503708862,1.613832834,-0.045084269,0.107935552,1.196378786,0.030553861
Owen,0.796092741,2.550601554,-0.156030739,0.373550782,5.376865404,0.137317714
HPChurch,0.556921081,1.784319466,-0.037299802,0.08929888,4.617746744,0.117930872
DobA8,0.424906196,1.361356972,-0.039510518,0.094591521,1.146177662,0.029271794
Midtown,0.57486159,1.841799064,-0.074834554,0.17916025,4.248050358,0.108489337
Elver,0.530864456,1.700836643,-0.043255411,0.103557111,4.84842392,0.123822048
TwoFountains,0.128899405,0.412980807,-0.020242642,0.048462596,2.348497571,0.059977383
Greentree,0.528806702,1.694243807,-0.030144874,0.072169377,3.637128951,0.092887248
MarionDunn,1,3.203900025,-0.068031619,0.162873448,7.154290518,0.182710696
Manitou,0.761011779,2.438205658,-0.072375062,0.173272018,6.858506342,0.175156776
MadCity,0.40450356,1.295988965,-0.042005405,0.100564491,1.528529957,0.039036543
Baxter,0.511623324,1.639189979,-0.075209587,0.18005811,0.713514651,0.018222178
DobA22,0.907035132,2.906049882,-0.417696192,1,9.251325798,0.236266079
DobA5,0.493926071,1.582489751,-0.023382268,0.055979127,35.18616221,0.89860597
DobA4,0.409667689,1.312534319,-0.041723914,0.099890578,12.52629187,0.319904188
DoorCreek,0.286188895,0.916920608,-0.020894486,0.050023166,4.019455501,0.10265134
CommAve,0.528475861,1.693183824,-0.067428115,0.161428608,39.15638597,1
Hospital,0.363849975,1.654396,-0.05544956,0.086165435,27.50027076,1
Lot60,0.154674177,0.7032908,-0.0551136,0.085643373,12.81810414,0.466108289
Garner,0.080077098,0.364104,-0.1155199,0.179511297,2.337383061,0.084994911
DobA7,0.332884385,1.513598,-0.0842242,0.130879575,0.800043802,0.029092215
Owen,0.273558485,1.243848,-0.09061269,0.140806922,9.045023608,0.328906711
DobA8,0.173473241,0.7887686,-0.06830529,0.106142502,1.927780247,0.07010041
Midtown,0.318553578,1.448437,-0.07505792,0.116635702,26.61833431,0.967929899
Elver,0.226909964,1.031741,-0.08952923,0.139123287,6.527063219,0.237345417
Greentree,0.273902454,1.245412,-0.07763274,0.120636824,20.31867442,0.738853613
MarionDunn,0.731402458,3.325627,-0.44428,0.690385633,21.41618731,0.77876278
Manitou,0.137636966,0.625824,-0.06373434,0.099039508,10.08086773,0.366573399
MadCity,0.361912619,1.645587,-0.0877327,0.136331583,1.109390104,0.040341061
Baxter,0.182613916,0.8303305,-0.0554601,0.086181814,0.766259301,0.0278637
DobA22,1,4.546918,-0.6435244,1,8.542190392,0.310622047
DobA5,0.34454657,1.566625,-0.06384185,0.099206572,0.239114729,0.008694995
DobA4,0.061881081,0.2813682,-0.05623908,0.087392304,8.174182768,0.297240083
DoorCreek,0.042554143,0.1934902,-0.1657636,0.257587125,3.215498312,0.11692606
CommAve,0.162410296,0.7384663,-0.07029303,0.109231336,16.96430417,0.616877714
